KEY_FOR_TRANSLATOR	English	Arabic	Chinese Simplified	Chinese Traditional	Danish	Dutch	Finnish	French	German	Hindi (India)	Indonesian	Italian	Japanese	Korean	Malay	Norwegian	Polish	Portuguese (Brazil)	Russian	Spanish	Swedish	Thai	Turkish	Vietnamese
LVL	LVL	المستوى	等级	等級	BANE	LVL	TASO	NV	Level	लेवल	LVL	LIV	レベル	LVL	THP	LVL	POZ.	NVL	УРОВЕНЬ	NIVEL	Nivå	เลเวล	SEVİYE	Cửa
Combo	"Perfect" streak	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Combo	Seria "Perfektów"	Combo	Combo	Combo	Combo	Combo	Combo	Combo
Prelude	Prelude	مقدمة	序曲	序章	Intro	Inleiding	Johdanto	Prélude	Vorwort	प्रस्तावना	Pendahuluan	Preludio	プレリュード	서곡	Permulaan	Preludium	Preludium	Prelúdio	Прелюдия	Preludio	Inledning	บทนำ	Başlangıç	Mở đầu
Ocean	Ocean	المحيط	海洋	海洋	Hav	Oceaan	Valtameri	Océean	Ozean	समुद्र	Samudera	Oceano	大洋	대양	Laut	Hav	Ocean	Oceano	Океан	Océano	Hav	มหาสมุทร	Okyanus	Đại dương
Island	Island	الجزيرة	岛屿	海島	Ø	Eiland	Saari	Île	Insel	टापू	Pulau	Isola	島	섬	Pulau	Øy	Wyspa	Ilha	Остров	Isla	Ö	เกาะ	Ada	Đảo
Castle	Castle	القلعة	城堡	城堡	Borg	Kasteel	Linna	Château	Schloss	किला	Kastil	Castello	城	성	Istana	Slott	Zamek	Castelo	Замок	Castillo	Slott	ปราสาท	Kale	Lâu đài
Desert	Desert	الصحراء	沙漠	沙漠	Ørken	Woestijn	Erämaa	Désert	Wüste	मरुस्थल	Padang Pasir	Deserto	砂漠	사막	Gurun	Ørken	Pustynia	Deserto	Пустыня	Desierto	Öken	ทะเลทราย	Çöl	Sa mạc
Lava	Lava	الحمم البركانية	熔岩	岩漿	Lava	Lava	Laava	Lave	Lava	लावा	Lahar	Lava	溶岩	용암	Lava	Lava	Lawa	Lava	Лава	Lava	Lava	ลาวา	Lav	Dung nham
Winter	Winter	الشتاء	冬季	冬日	Vinter	Winter	Talvi	Hiver	Winter	जाड़ा	Musim Dingin	Inverno	冬	겨울	Musim Sejuk	Vinter	Zima	Inverno	Зима	Invierno	Vinter	ฤดูหนาว	Kış	Mùa đông
Cave	Cave	الكهف	山洞	洞穴	Grotte	Grot	Luola	Grotte	Höhle	गुफा	Gua	Grotta	洞窟	동굴	Gua	Hule	Jaskinia	Caverna	Пещера	Cueva	Grotta	ถ้ำ	Mağara	Hang động
